Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","10","Australia","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","33716","","Official data"
"TP","Crops and livestock products","10","Australia","5922","Export Value","116","Potatoes","2017","2017","1000 US$","21293","","Official data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","319","","Official data"
"TP","Crops and livestock products","10","Australia","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","533","","Official data"
"TP","Crops and livestock products","10","Australia","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","987","","Official data"
"TP","Crops and livestock products","10","Australia","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","1634","","Official data"
"TP","Crops and livestock products","11","Austria","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","173347","","Official data"
"TP","Crops and livestock products","11","Austria","5622","Import Value","116","Potatoes","2017","2017","1000 US$","35270","","Official data"
"TP","Crops and livestock products","11","Austria","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","34573","","Official data"
"TP","Crops and livestock products","11","Austria","5922","Export Value","116","Potatoes","2017","2017","1000 US$","13138","","Official data"
"TP","Crops and livestock products","11","Austria","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","2966","","Official data"
"TP","Crops and livestock products","11","Austria","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","4073","","Official data"
"TP","Crops and livestock products","11","Austria","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","268","","Official data"
"TP","Crops and livestock products","11","Austria","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","507","","Official data"
"TP","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","166654","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5622","Import Value","116","Potatoes","2017","2017","1000 US$","26197","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","57333","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5922","Export Value","116","Potatoes","2017","2017","1000 US$","22999","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","1","*","Unofficial figure"
"TP","Crops and livestock products","52","Azerbaijan","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","2","*","Unofficial figure"
"TP","Crops and livestock products","12","Bahamas","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","1831","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1392","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","60","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","95","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","21532","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5622","Import Value","116","Potatoes","2017","2017","1000 US$","7694","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","297","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","299","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","6006","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","116","Potatoes","2017","2017","1000 US$","5211","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","56438","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","16","Bangladesh","5922","Export Value","116","Potatoes","2017","2017","1000 US$","12111","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","26","*","Unofficial figure"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","46","*","Unofficial figure"
"TP","Crops and livestock products","16","Bangladesh","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","84","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","17","R","Estimated data using trading partners database"
"TP","Crops and livestock products","14","Barbados","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","9446","","Official data"
"TP","Crops and livestock products","14","Barbados","5622","Import Value","116","Potatoes","2017","2017","1000 US$","3356","","Official data"
"TP","Crops and livestock products","14","Barbados","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","55","","Official data"
"TP","Crops and livestock products","14","Barbados","5922","Export Value","116","Potatoes","2017","2017","1000 US$","19","","Official data"
"TP","Crops and livestock products","14","Barbados","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","35","","Official data"
"TP","Crops and livestock products","14","Barbados","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","15","","Official data"
"TP","Crops and livestock products","14","Barbados","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","14","Barbados","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","57","Belarus","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","18516","","Official data"
"TP","Crops and livestock products","57","Belarus","5622","Import Value","116","Potatoes","2017","2017","1000 US$","7756","","Official data"
"TP","Crops and livestock products","57","Belarus","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","389880","","Official data"
"TP","Crops and livestock products","57","Belarus","5922","Export Value","116","Potatoes","2017","2017","1000 US$","65684","","Official data"
"TP","Crops and livestock products","57","Belarus","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","52","","Official data"
"TP","Crops and livestock products","57","Belarus","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","37","","Official data"
"TP","Crops and livestock products","57","Belarus","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","16","","Official data"
"TP","Crops and livestock products","57","Belarus","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","2","","Official data"
"TP","Crops and livestock products","255","Belgium","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","2170113","","Official data"
"TP","Crops and livestock products","255","Belgium","5622","Import Value","116","Potatoes","2017","2017","1000 US$","507856","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","975837","","Official data"
"TP","Crops and livestock products","255","Belgium","5922","Export Value","116","Potatoes","2017","2017","1000 US$","209832","","Official data"
"TP","Crops and livestock products","255","Belgium","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","33995","","Official data"
"TP","Crops and livestock products","255","Belgium","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","25981","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","11262","","Official data"
"TP","Crops and livestock products","255","Belgium","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","8547","","Official data"
"TP","Crops and livestock products","23","Belize","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","2135","R","Estimated data using trading partners database"
"TP","Crops and livestock products","23","Belize","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1352","R","Estimated data using trading partners database"
"TP","Crops and livestock products","23","Belize","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","5","*","Unofficial figure"
"TP","Crops and livestock products","23","Belize","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","3","*","Unofficial figure"
"TP","Crops and livestock products","53","Benin","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","3321","R","Estimated data using trading partners database"
"TP","Crops and livestock products","53","Benin","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1028","R","Estimated data using trading partners database"
"TP","Crops and livestock products","53","Benin","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","53","Benin","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","17","Bermuda","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","989","","Official data"
"TP","Crops and livestock products","17","Bermuda","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1050","","Official data"
"TP","Crops and livestock products","17","Bermuda","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","1","","Official data"
"TP","Crops and livestock products","17","Bermuda","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","9","","Official data"
"TP","Crops and livestock products","18","Bhutan","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","5000","F","FAO estimate"
"TP","Crops and livestock products","18","Bhutan","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1000","F","FAO estimate"
"TP","Crops and livestock products","18","Bhutan","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","24045","","Official data"
"TP","Crops and livestock products","18","Bhutan","5922","Export Value","116","Potatoes","2017","2017","1000 US$","6600","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","33405","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1450","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","4706","","Official data"
"TP","Crops and livestock products","19","Bolivia (Plurinational State of)","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","215","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","13566","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5622","Import Value","116","Potatoes","2017","2017","1000 US$","5508","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","4571","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5922","Export Value","116","Potatoes","2017","2017","1000 US$","792","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","14","","Official data"
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","24","","Official data"
"TP","Crops and livestock products","20","Botswana","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","12373","","Official data"
"TP","Crops and livestock products","20","Botswana","5622","Import Value","116","Potatoes","2017","2017","1000 US$","4982","","Official data"
"TP","Crops and livestock products","20","Botswana","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","2","","Official data"
"TP","Crops and livestock products","20","Botswana","5922","Export Value","116","Potatoes","2017","2017","1000 US$","2","","Official data"
"TP","Crops and livestock products","20","Botswana","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","257","","Official data"
"TP","Crops and livestock products","20","Botswana","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","163","","Official data"
"TP","Crops and livestock products","20","Botswana","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","20","Botswana","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","21","Brazil","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","13580","","Official data"
"TP","Crops and livestock products","21","Brazil","5622","Import Value","116","Potatoes","2017","2017","1000 US$","8554","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","21032","","Official data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","116","Potatoes","2017","2017","1000 US$","5301","","Official data"
"TP","Crops and livestock products","21","Brazil","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","4","","Official data"
"TP","Crops and livestock products","21","Brazil","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","12","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","3905","","Official data"
"TP","Crops and livestock products","21","Brazil","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","2697","","Official data"
"TP","Crops and livestock products","239","British Virgin Islands","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","274","R","Estimated data using trading partners database"
"TP","Crops and livestock products","239","British Virgin Islands","5622","Import Value","116","Potatoes","2017","2017","1000 US$","294","R","Estimated data using trading partners database"
"TP","Crops and livestock products","239","British Virgin Islands","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","11","*","Unofficial figure"
"TP","Crops and livestock products","239","British Virgin Islands","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","5","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","1709","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","26","Brunei Darussalam","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1367","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","116","Potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","242","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","192","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","37279","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5622","Import Value","116","Potatoes","2017","2017","1000 US$","8865","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","235","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5922","Export Value","116","Potatoes","2017","2017","1000 US$","99","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","1062","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","430","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","4","","Official data"
"TP","Crops and livestock products","27","Bulgaria","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","12","","Official data"
"TP","Crops and livestock products","233","Burkina Faso","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","8688","","Official data"
"TP","Crops and livestock products","233","Burkina Faso","5622","Import Value","116","Potatoes","2017","2017","1000 US$","996","","Official data"
"TP","Crops and livestock products","29","Burundi","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","3353","","Official data"
"TP","Crops and livestock products","29","Burundi","5622","Import Value","116","Potatoes","2017","2017","1000 US$","321","","Official data"
"TP","Crops and livestock products","35","Cabo Verde","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","7493","","Official data"
"TP","Crops and livestock products","35","Cabo Verde","5622","Import Value","116","Potatoes","2017","2017","1000 US$","2424","","Official data"
"TP","Crops and livestock products","35","Cabo Verde","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","25","","Official data"
"TP","Crops and livestock products","35","Cabo Verde","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","22","","Official data"
"TP","Crops and livestock products","115","Cambodia","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","133","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","115","Cambodia","5622","Import Value","116","Potatoes","2017","2017","1000 US$","83","R","Estimated data using trading partners database"
"TP","Crops and livestock products","115","Cambodia","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","2","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","115","Cambodia","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","5","R","Estimated data using trading partners database"
"TP","Crops and livestock products","115","Cambodia","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","2672","R","Estimated data using trading partners database"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","534","R","Estimated data using trading partners database"
"TP","Crops and livestock products","32","Cameroon","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","273","","Official data"
"TP","Crops and livestock products","32","Cameroon","5622","Import Value","116","Potatoes","2017","2017","1000 US$","204","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","20","","Official data"
"TP","Crops and livestock products","32","Cameroon","5922","Export Value","116","Potatoes","2017","2017","1000 US$","4","","Official data"
"TP","Crops and livestock products","32","Cameroon","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","32","Cameroon","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","30","","Official data"
"TP","Crops and livestock products","32","Cameroon","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","3","","Official data"
"TP","Crops and livestock products","33","Canada","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","182061","","Official data"
"TP","Crops and livestock products","33","Canada","5622","Import Value","116","Potatoes","2017","2017","1000 US$","96400","","Official data"
"TP","Crops and livestock products","33","Canada","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","706343","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","33","Canada","5922","Export Value","116","Potatoes","2017","2017","1000 US$","238838","","Official data"
"TP","Crops and livestock products","33","Canada","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","66226","","Official data"
"TP","Crops and livestock products","33","Canada","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","46504","","Official data"
"TP","Crops and livestock products","33","Canada","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","30291","","Official data"
"TP","Crops and livestock products","33","Canada","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","16893","","Official data"
"TP","Crops and livestock products","36","Cayman Islands","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","743","R","Estimated data using trading partners database"
"TP","Crops and livestock products","36","Cayman Islands","5622","Import Value","116","Potatoes","2017","2017","1000 US$","783","R","Estimated data using trading partners database"
"TP","Crops and livestock products","36","Cayman Islands","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","141","R","Estimated data using trading partners database"
"TP","Crops and livestock products","36","Cayman Islands","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","303","R","Estimated data using trading partners database"
"TP","Crops and livestock products","37","Central African Republic","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","270","","Official data"
"TP","Crops and livestock products","37","Central African Republic","5622","Import Value","116","Potatoes","2017","2017","1000 US$","244","","Official data"
"TP","Crops and livestock products","37","Central African Republic","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","21","","Official data"
"TP","Crops and livestock products","37","Central African Republic","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","20","","Official data"
"TP","Crops and livestock products","39","Chad","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","39","Chad","5622","Import Value","116","Potatoes","2017","2017","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","40","Chile","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","410","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","40","Chile","5622","Import Value","116","Potatoes","2017","2017","1000 US$","247","","Official data"
"TP","Crops and livestock products","40","Chile","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","9439","","Official data"
"TP","Crops and livestock products","40","Chile","5922","Export Value","116","Potatoes","2017","2017","1000 US$","2504","","Official data"
"TP","Crops and livestock products","40","Chile","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","1928","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","40","Chile","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","692","","Official data"
"TP","Crops and livestock products","40","Chile","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","0","","Official data"
"TP","Crops and livestock products","40","Chile","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","55709","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5622","Import Value","116","Potatoes","2017","2017","1000 US$","28738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","509572","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5922","Export Value","116","Potatoes","2017","2017","1000 US$","280857","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","5199","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","11271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","44619","A","Aggregate, may include official, semi-official, estimated or calculated data"
